order_id,customer_id,product_name,category,price,quantity,order_status,order_date,shipping_city,review_id,rating,review_text,review_date,verified_purchase
08fc43b9-480f-442b-b461-d7f2d4b7026a,9a14dca9-8628-4418-a97a-45a3abec3be8,Smart Watch Fitness,Electronics,49.86,5.0,Delivered,2026-05-16T03:14:20.781057,West Mikeburgh,,,,,
08fc43b9-480f-442b-b461-d7f2d4b7026a,,Smartphone Charger 20W,Gaming,,,,,,e9dd9595-ce61-4cc2-9833-3c4c834eedfa,4.0,Half particular state. Wonder consider skill cut reason.,2026-05-16T03:14:20.781057,False
8e045d57-9afe-48a5-a400-b7aaa5c0fe9a,15c45804-d509-40ea-8713-31c963cf169f,Power Bank 20000mAh,Computers,85.32,5.0,Shipped,2026-06-02T03:14:20.781057,Michaelfort,,,,,
8e045d57-9afe-48a5-a400-b7aaa5c0fe9a,,Smartphone Charger 20W,Computers,,,,,,53cd4ebf-8162-4c41-aab5-076b9cf15679,2.0,Sing perform white near thing court. History war road possible season place program. Good early well crime.,2026-05-31T03:14:20.781057,False
e8e89b95-a806-4970-aaa2-cbe4494a1330,fdcb54cd-f92c-4482-a695-1f3c8ba6a399,Gaming Mouse RGB,Gaming,28.97,4.0,Processing,2026-05-29T03:14:20.781057,Fergusonmouth,,,,,
e8e89b95-a806-4970-aaa2-cbe4494a1330,,Portable SSD 1TB,Computers,,,,,,6447a0f2-d7a5-4bf7-b1e7-e54cf36e14d6,4.0,Young safe point take.,2026-05-19T03:14:20.781057,False
99bb7681-f9fa-4dd1-9fc0-3c2a2f6c0cdd,800bc5da-932b-40d4-9152-a51e3b209d43,USB-C Cable 2m,Computers,59.54,4.0,Cancelled,2026-05-15T03:14:20.781057,Sanchezshire,,,,,
99bb7681-f9fa-4dd1-9fc0-3c2a2f6c0cdd,,Portable SSD 1TB,Gaming,,,,,,038a6e98-bf21-41ca-8032-8eb87b6752ef,2.0,Avoid particularly suddenly card answer but every send. Important goal job buy environmental bar statement imagine. Room force human decade together while too. Know affect yard practice.,2026-06-11T03:14:20.781057,False
94057ad4-c8ac-4b18-bc3f-e1d9065e3674,32990f45-5a89-48e8-983e-d6ad76373f88,Smartphone Charger 20W,Electronics,191.64,5.0,Shipped,2026-06-02T03:14:20.781057,Port Alicia,,,,,
94057ad4-c8ac-4b18-bc3f-e1d9065e3674,,Wireless Bluetooth Headphones,Computers,,,,,,6ee89d3c-4b14-4499-9279-5fd1326d9513,3.0,Tough indeed site realize professor beyond series dog. Truth news main. Foot investment into director.,2026-05-21T03:14:20.782235,True
47517ab8-3a79-44a3-bd9b-35fd2307275b,53374630-6d41-4833-a20c-8e725062d960,Webcam 1080p,Accessories,38.59,2.0,Cancelled,2026-05-18T03:14:20.782235,South William,,,,,
47517ab8-3a79-44a3-bd9b-35fd2307275b,,Mechanical Keyboard,Computers,,,,,,ebc0eb31-28a0-4935-b24e-b45cb73b3779,4.0,Small street space rock stay. Blue send woman especially.,2026-05-26T03:14:20.782235,False
3c2d9315-745b-4852-9e41-75e3c36a54bd,d090b5ed-a038-48c7-855a-302662711577,Smartphone Charger 20W,Gaming,123.8,1.0,Cancelled,2026-06-04T03:14:20.782235,Medinamouth,,,,,
3c2d9315-745b-4852-9e41-75e3c36a54bd,,Power Bank 20000mAh,Gaming,,,,,,11cadb78-3168-4332-b9c5-95493ba20ada,5.0,Piece realize involve eye able actually would. History yes international civil play stay listen.,2026-06-11T03:14:20.782235,False
ac6108d9-8526-4509-b85f-2d61b2b9ec71,119a5193-a8bd-4e96-8af7-a24ab3667748,Power Bank 20000mAh,Accessories,162.74,5.0,Shipped,2026-05-21T03:14:20.782235,Randymouth,,,,,
ac6108d9-8526-4509-b85f-2d61b2b9ec71,,Power Bank 20000mAh,Computers,,,,,,e903f415-c3a9-4719-bb38-14531fc0f2aa,5.0,Certain maybe near will be ball couple. Allow officer summer article music despite. Sign road cost certainly describe.,2026-05-25T03:14:20.782235,True
067d584d-5f0c-49ae-92fd-bd83cf201566,a619bb6e-c504-4084-ad73-c16af24ce3d8,Webcam 1080p,Accessories,173.55,1.0,Cancelled,2026-06-10T03:14:20.782235,North Teresa,,,,,
067d584d-5f0c-49ae-92fd-bd83cf201566,,Wireless Bluetooth Headphones,Electronics,,,,,,f889007f-183b-444e-9cce-83494c40c61e,3.0,Attorney church family collection administration money. Maintain meeting truth later professor professor head final. Buy above director cost number chair us us.,2026-06-07T03:14:20.782235,True
d63b2456-5f2b-4c32-a75b-f1c2b43bdd3b,7b46fddf-ac16-4016-bac5-1fcfb6b3c81e,Wireless Bluetooth Headphones,Gaming,36.23,3.0,Cancelled,2026-06-01T03:14:20.782235,Lake Stevenbury,,,,,
d63b2456-5f2b-4c32-a75b-f1c2b43bdd3b,,USB-C Cable 2m,Gaming,,,,,,02fe9c54-8796-4b24-9dec-838e8781dd8f,3.0,Conference anyone investment spend concern. Agree factor true performance member attention. Commercial discussion nice. Consider ten than.,2026-06-11T03:14:20.782235,False
