order_id,customer_id,product_name,category,price,quantity,order_status,order_date,shipping_city,review_id,rating,review_text,review_date,verified_purchase
7d247432-d520-4cfd-ac1c-e393a4e55f50,b680c6e1-d9d8-469e-a226-f7a01baed243,Portable SSD 1TB,Gaming,108.79,2.0,Shipped,2026-05-16T02:25:58.782711,Patricktown,,,,,
7d247432-d520-4cfd-ac1c-e393a4e55f50,,Smartphone Charger 20W,Gaming,,,,,,7114ce43-0692-4efd-96e9-19b6de119efe,3.0,Peace task when never. Speak country talk film know figure.,2026-06-08T02:25:58.783946,False
6ecc843b-7e88-4db6-a04a-cc1d08819d0f,c47cd44e-365d-42e3-a8ba-fbdaa5449bcd,Wireless Bluetooth Headphones,Computers,134.1,4.0,Processing,2026-06-10T02:25:58.783946,Michealland,,,,,
6ecc843b-7e88-4db6-a04a-cc1d08819d0f,,Wireless Bluetooth Headphones,Gaming,,,,,,d2cc5060-a567-4975-84ae-2e46c2978340,2.0,Loss less seek election serve less. Yeah serve town large need street protect.,2026-05-31T02:25:58.783946,True
c8389c9e-9aa3-4b96-a016-eda0e8a2869b,410ec69e-febe-4134-9e78-0c7f90e31df7,Wireless Bluetooth Headphones,Gaming,58.09,4.0,Delivered,2026-05-21T02:25:58.783946,Meyersmouth,,,,,
c8389c9e-9aa3-4b96-a016-eda0e8a2869b,,Webcam 1080p,Computers,,,,,,8bb8de99-3a82-421f-a5a6-13d808ded94f,3.0,Sign finish develop about long part. Personal likely class gas. Attack benefit their expect.,2026-06-09T02:25:58.783946,False
54d7fa1c-2982-4d09-b75d-b3408969909b,c77f276d-1323-4086-a57c-93875190e58f,Webcam 1080p,Accessories,166.31,4.0,Processing,2026-06-12T02:25:58.783946,Mercerport,,,,,
54d7fa1c-2982-4d09-b75d-b3408969909b,,Gaming Mouse RGB,Electronics,,,,,,c1a014bd-1cc1-4919-aeb4-307f60496fc9,1.0,Air air bad hard trade increase country. Mr collection view.,2026-06-01T02:25:58.783946,False
be644976-2366-4f3e-8241-3c97120746a9,e1372aef-e69f-407a-92cb-4cb06425b956,Power Bank 20000mAh,Computers,177.05,1.0,Delivered,2026-06-07T02:25:58.783946,Sheilamouth,,,,,
be644976-2366-4f3e-8241-3c97120746a9,,Webcam 1080p,Accessories,,,,,,a6670513-8ae8-4d26-9b7e-784b96cf5ad5,3.0,Idea scene well writer. Town within good prepare type. Scene full international result today program surface reveal.,2026-06-09T02:25:58.785035,False
31b8c545-8e51-491e-b307-abffe5c42095,f68f0e67-f2bb-4dfa-999d-f4b2edbd29c2,Wireless Bluetooth Headphones,Accessories,126.92,3.0,Delivered,2026-05-14T02:25:58.785035,Lake Lisaton,,,,,
31b8c545-8e51-491e-b307-abffe5c42095,,Gaming Mouse RGB,Accessories,,,,,,ceecc0a2-6744-41aa-ac6c-0b26d213d061,5.0,Price along season reflect the building lose. Activity mother management shoulder difference figure.,2026-05-14T02:25:58.785035,True
fab97ee4-48cc-4374-958b-2a46bf62d480,21370dba-2e64-4830-ab22-631c0910e5ec,Mechanical Keyboard,Computers,29.15,1.0,Cancelled,2026-05-15T02:25:58.785035,Vincentmouth,,,,,
fab97ee4-48cc-4374-958b-2a46bf62d480,,Power Bank 20000mAh,Electronics,,,,,,6890d897-5431-45f5-bca7-3b7c01851502,2.0,Protect rest thousand pick forward Democrat number toward. Continue street consumer eye sister box. Pay seek field heart girl.,2026-06-10T02:25:58.785035,True
89c8c92e-91f1-49a4-b21c-38df4b89daa2,4f7d861c-daed-4ae5-b6e6-1dd436f4c0f8,Portable SSD 1TB,Accessories,42.32,1.0,Cancelled,2026-06-09T02:25:58.785035,Lake Cherylland,,,,,
89c8c92e-91f1-49a4-b21c-38df4b89daa2,,Wireless Bluetooth Headphones,Accessories,,,,,,513c540f-61b1-4554-905f-8ced1c1c9cca,3.0,About year report major special parent. Song site music let safe total meet. Wear within offer street ready still.,2026-06-02T02:25:58.785035,False
11106256-61a8-4b90-b10a-f33556598d68,dd21bc8e-e9c0-40ae-a8e6-c8796418eeb2,Wireless Bluetooth Headphones,Computers,196.42,2.0,Cancelled,2026-05-17T02:25:58.785035,North Christinaland,,,,,
11106256-61a8-4b90-b10a-f33556598d68,,Wireless Bluetooth Headphones,Electronics,,,,,,c2baa1d4-0e7d-4892-a153-94710baf73d2,4.0,Number subject gun easy explain perform. Design staff available front wall. Bag fact your sense.,2026-05-19T02:25:58.785035,False
36c503c2-1cd1-4df0-a3d8-5c34e4338b25,18f8b06c-5455-42ab-95bf-3e4eac4e2131,Power Bank 20000mAh,Accessories,156.85,3.0,Cancelled,2026-06-12T02:25:58.785035,New Wanda,,,,,
36c503c2-1cd1-4df0-a3d8-5c34e4338b25,,Mechanical Keyboard,Computers,,,,,,5f0ed59a-f7cd-416e-8a7a-bfadd2881de7,4.0,Tv determine wish push. Assume raise staff performance grow budget where. Then rich yes him market week direction hour.,2026-05-27T02:25:58.785035,False
